City_ID,City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
269,269,Stonewall,CA,50.1344,-97.3268,65.01,63,60,16.44,broken clouds
270,270,Poronaysk,RU,49.2167,143.1167,59.95,81,99,7.72,light rain
271,271,Avera,US,33.194,-82.5271,83.71,70,100,8.01,overcast clouds
272,272,Tessalit,ML,20.1986,1.0114,107.38,9,5,13.53,clear sky
273,273,Pacific Grove,US,36.6177,-121.9166,76.15,93,90,5.01,fog
274,274,Cambe,BR,-23.2758,-51.2783,84.88,42,79,6.91,broken clouds
275,275,Novovasylivka,UA,46.8315,35.7536,68.52,34,0,8.28,clear sky
276,276,Harqalah,TN,36.0303,10.509,82.26,53,99,10.02,overcast clouds
277,277,Luganville,VU,-15.5333,167.1667,74.75,79,88,12.66,overcast clouds
278,278,Victoria,HK,22.2855,114.1577,87.33,65,16,6.02,few clouds
279,279,Abeche,TD,13.8292,20.8324,89.55,45,81,10.71,broken clouds
280,280,Camacupa,AO,-12.0167,17.4833,91.33,16,24,4.25,few clouds
281,281,Port-Gentil,GA,-0.7193,8.7815,77.86,79,24,12.37,few clouds
282,282,Uige,AO,-7.6087,15.0613,83.1,50,80,5.32,light rain
283,283,Qaqortoq,GL,60.7167,-46.0333,50.5,66,95,4.18,overcast clouds
284,284,Eyl,SO,7.9803,49.8164,79.38,76,94,27.69,overcast clouds
285,285,Mackay,AU,-21.15,149.2,65.05,63,0,20.67,clear sky
286,286,Gushi,CN,34.6425,109.5843,72.16,59,1,3.58,clear sky
287,287,Dingle,PH,10.9995,122.6711,75.42,91,100,4.16,overcast clouds
288,288,Port Blair,IN,11.6667,92.75,80.56,83,100,13.49,overcast clouds
289,289,Lesnoy,RU,57.6198,63.0784,43.86,95,100,8.7,light rain
290,290,Nabire,ID,-3.3667,135.4833,76.12,89,78,3.51,light rain
291,291,Talovaya,RU,51.1144,40.73,60.84,44,99,7.05,overcast clouds
292,292,Mana,GF,5.6592,-53.7767,85.42,69,33,10.25,scattered clouds
293,293,Tromso,NO,69.6496,18.957,48.85,76,75,6.91,broken clouds
294,294,Traverse City,US,44.7631,-85.6206,66.4,63,75,17.27,broken clouds
295,295,Antalaha,MG,-14.9003,50.2788,71.58,74,6,10.16,clear sky
296,296,Northam,GB,51.0333,-4.2167,70.72,87,100,4.52,overcast clouds
297,297,Roma,US,43.2128,-75.4557,78.94,61,40,6.91,scattered clouds
298,298,Bathsheba,BB,13.2167,-59.5167,90.21,66,20,18.41,few clouds
299,299,Gizo,SB,-8.103,156.8419,80.42,82,65,18.12,light rain
300,300,Bad Doberan,DE,54.1071,11.9005,76.55,70,14,1.83,few clouds
301,301,Troitsko-Pechorsk,RU,62.7084,56.1964,38.75,83,99,5.32,overcast clouds
302,302,Campbell River,CA,50.0163,-125.2446,63.32,97,90,2.3,mist
303,303,Kieta,PG,-6.2167,155.6333,77.77,83,100,7.49,overcast clouds
304,304,Aginskoye,RU,51.1,114.53,39.99,98,100,7.07,overcast clouds
305,305,Karlskoga,SE,59.3267,14.5239,73.31,60,9,11.56,clear sky
306,306,Neustadt,DE,49.7117,12.0872,76.98,50,1,3.44,clear sky
307,307,Benguela,AO,-12.5763,13.4055,76.41,73,42,8.52,scattered clouds
308,308,Corrente,BR,-3.7367,-43.3394,95.85,31,30,5.93,scattered clouds
309,309,Saint-Philippe,RE,-21.3585,55.7679,71.19,80,54,12.62,broken clouds
310,310,Bakchar,RU,57.0186,82.0711,53.46,85,100,3.27,overcast clouds
311,311,Xinmin,CN,41.9908,122.8253,68.25,96,65,1.52,broken clouds
312,312,Tenenkou,ML,14.4572,-4.9169,99.82,28,100,7.31,overcast clouds
313,313,Prien,US,30.1819,-93.2738,84.18,76,40,1.01,scattered clouds
314,314,Turukhansk,RU,65.8167,87.9833,51.24,86,100,4.0,light rain
315,315,Hirara,JP,24.8,125.2833,84.15,68,1,14.41,clear sky
316,316,Kutum,SD,14.2,24.6667,89.01,28,100,12.88,overcast clouds
317,317,Dunedin,NZ,-45.8742,170.5036,48.79,52,100,19.51,overcast clouds
318,318,San Matias,BO,-16.3667,-58.4,105.26,18,5,8.55,clear sky
319,319,Ternate,ID,0.8,127.4,80.49,79,81,5.59,broken clouds
320,320,Lere,NG,10.387,8.5726,80.94,63,80,5.7,broken clouds
321,321,Vestmanna,FO,62.1564,-7.1664,50.92,93,90,14.97,overcast clouds
322,322,Iracoubo,GF,5.4802,-53.2011,83.32,75,98,10.13,overcast clouds
323,323,Manzanillo,CU,20.3433,-77.1167,85.03,63,21,3.56,few clouds
324,324,Ariquemes,BR,-9.9133,-63.0408,99.63,28,28,4.99,scattered clouds
325,325,Vieux-Habitants,GP,16.0589,-61.7659,87.37,70,78,8.57,broken clouds
